time,epoch,train_loss,val_loss,best_val_loss
2026-03-03 09:26:47,0,0.02019890555618708,0.0072452149359724044,0.0072452149359724044
2026-03-03 09:27:37,1,0.007040271702522812,0.004910065691317562,0.004910065691317562
2026-03-03 09:28:29,2,0.006284173293150903,0.004906213340948617,0.004906213340948617
2026-03-03 09:29:21,3,0.005964674682804671,0.004465683984441097,0.004465683984441097
2026-03-03 09:30:12,4,0.005636812261624169,0.004364743778363126,0.004364743778363126
2026-03-03 09:31:05,5,0.005498986656420699,0.005289273883427879,0.004364743778363126
2026-03-03 09:31:57,6,0.005324186004496635,0.004697480217576886,0.004364743778363126
2026-03-03 09:32:48,7,0.005124811210736308,0.003951371171057654,0.003951371171057654
2026-03-03 09:33:40,8,0.004798835767683285,0.005184282092856261,0.003951371171057654
2026-03-03 09:34:52,9,0.00474963525832033,0.006324180266587789,0.003951371171057654
2026-03-03 09:35:45,10,0.04822952862004996,0.005527577383263832,0.003951371171057654
2026-03-03 09:36:36,11,0.0410846428078167,0.011168409413092327,0.003951371171057654
2026-03-03 09:37:28,12,0.04010282986618961,0.04167188680803293,0.003951371171057654
2026-03-03 09:38:20,13,0.03979376108585813,1.181336201239969,0.003951371171057654
2026-03-03 09:39:11,14,0.03950168166202246,0.006408845702972484,0.003951371171057654
2026-03-03 09:40:03,15,0.03940594470802248,0.8532191017335078,0.003951371171057654
2026-03-03 09:40:54,16,0.03926060285681795,0.02873680599881017,0.003951371171057654
2026-03-03 09:41:46,17,0.03922051782473179,0.6366464786254729,0.003951371171057654
2026-03-03 09:42:37,18,0.03928922161219114,0.01348348763971546,0.003951371171057654
2026-03-03 09:43:29,19,0.03948017734906569,0.10075333716806222,0.003951371171057654
2026-03-03 09:44:20,20,0.03908641326511018,0.9695811820364444,0.003951371171057654
2026-03-03 09:45:12,21,0.03927508066081938,5.8233815665557005,0.003951371171057654
